ID Race,Race,ID Year,Year,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"White",2019,"2019","true","true","1191XX","Other managers",115905.08068165125,7111.180264790937,102105,7748.965206930033,1165,"Virginia","04000US51"
1,"White",2019,"2019","true","true","252020","Elementary & middle school teachers",47552.14392880882,2031.6961648339911,73717,6607.026448363772,812,"Virginia","04000US51"
1,"White",2019,"2019","true","true","412010","Cashiers",15660.650914149444,3292.305061586642,50320,5474.2258459103605,451,"Virginia","04000US51"
1,"White",2019,"2019","true","true","291141","Registered nurses",62202.719714454404,3537.501344223567,55893,5765.523111644434,605,"Virginia","04000US51"
1,"White",2019,"2019","true","true","533030","Driver/sales workers & truck drivers",40179.238176833445,2871.7544943541975,49606,5435.718159863016,492,"Virginia","04000US51"
2,"Black",2019,"2019","true","true","1191XX","Other managers",82581.22223057268,9616.140096791596,13306,2827.5361535681886,117,"Virginia","04000US51"
2,"Black",2019,"2019","true","true","252020","Elementary & middle school teachers",48554.97934538736,5377.356556717012,15154,3016.8380392236877,125,"Virginia","04000US51"
2,"Black",2019,"2019","true","true","412010","Cashiers",17535.031757939483,3350.0357914462284,23994,3792.0985716180394,169,"Virginia","04000US51"
2,"Black",2019,"2019","true","true","291141","Registered nurses",54783.93797575416,6437.0426378682905,17735,3262.644288341287,122,"Virginia","04000US51"
2,"Black",2019,"2019","true","true","533030","Driver/sales workers & truck drivers",41420.71132151491,5156.714349954896,24820,3856.436116666122,161,"Virginia","04000US51"
6,"Asian",2019,"2019","true","true","1191XX","Other managers",111367.7707362535,23695.960407196224,9657,2409.878024291391,99,"Virginia","04000US51"
6,"Asian",2019,"2019","true","true","252020","Elementary & middle school teachers",29580.854143019296,10018.941902243265,3524,1456.834062872856,37,"Virginia","04000US51"
6,"Asian",2019,"2019","true","true","412010","Cashiers",16427.811005568292,3574.1480167833424,6106,1917.064103214826,56,"Virginia","04000US51"
6,"Asian",2019,"2019","true","true","291141","Registered nurses",61655.40943895308,8299.908801253312,7183,2079.003836954218,65,"Virginia","04000US51"
6,"Asian",2019,"2019","true","true","533030","Driver/sales workers & truck drivers",21364.665666041277,7401.347941787595,2665,1267.0252607174227,22,"Virginia","04000US51"
8,"Other",2019,"2019","true","true","1191XX","Other managers",96234.55866355867,26716.75706588578,1287,880.6378646478479,8,"Virginia","04000US51"
8,"Other",2019,"2019","true","true","412010","Cashiers",16941.79522673031,4975.039184044378,2095,1123.4615758309985,13,"Virginia","04000US51"
8,"Other",2019,"2019","true","true","291141","Registered nurses",57882.45094339622,19795.735874730344,530,565.1779860415652,5,"Virginia","04000US51"
8,"Other",2019,"2019","true","true","533030","Driver/sales workers & truck drivers",61806.88348164628,15642.177776626917,3596,1471.628690715195,17,"Virginia","04000US51"
9,"Two or More Races",2019,"2019","true","true","1191XX","Other managers",116389.47019089574,27370.046266198915,3405,1432.045658322496,38,"Virginia","04000US51"
9,"Two or More Races",2019,"2019","true","true","252020","Elementary & middle school teachers",39938.502613590674,10101.947123941809,2487,1224.0066732993128,19,"Virginia","04000US51"
9,"Two or More Races",2019,"2019","true","true","412010","Cashiers",6439.469004383219,2765.641551140511,3194,1387.0007668470487,28,"Virginia","04000US51"
9,"Two or More Races",2019,"2019","true","true","291141","Registered nurses",48068.85430463576,11812.075725949451,1510,953.8607963842566,13,"Virginia","04000US51"
9,"Two or More Races",2019,"2019","true","true","533030","Driver/sales workers & truck drivers",39801.66935483871,11037.03277631328,1860,1058.607242073342,16,"Virginia","04000US51"
1,"White",2018,"2018","true","true","1191XX","Other managers",114987.83740925611,7103.187284306317,107583,7947.069467965728,1237,"Virginia","04000US51"
1,"White",2018,"2018","true","true","252020","Elementary & middle school teachers",50148.195623404856,2362.78536218191,84632,7068.702773330625,1049,"Virginia","04000US51"
1,"White",2018,"2018","true","true","412010","Cashiers",13933.117859234102,2093.1727651300794,42695,5046.654851767257,401,"Virginia","04000US51"
1,"White",2018,"2018","true","true","291141","Registered nurses",62106.35270287378,4423.998955537548,55293,5734.280003478575,595,"Virginia","04000US51"
1,"White",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",41592.574791742125,2812.7226579666685,52459,5587.338861655475,493,"Virginia","04000US51"
2,"Black",2018,"2018","true","true","1191XX","Other managers",73398.8730289999,9100.559750916651,18138,3299.2282472051347,127,"Virginia","04000US51"
2,"Black",2018,"2018","true","true","252020","Elementary & middle school teachers",43937.11825121444,5534.3012545090905,14410,2942.027414261493,126,"Virginia","04000US51"
2,"Black",2018,"2018","true","true","412010","Cashiers",12295.341834505223,2047.311153052075,25173,3883.405969804964,167,"Virginia","04000US51"
2,"Black",2018,"2018","true","true","291141","Registered nurses",61863.67398929297,8263.288850218956,10834,2552.1018333767165,86,"Virginia","04000US51"
2,"Black",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",40511.760405764435,5358.3499129032025,24842,3857.9457701422507,172,"Virginia","04000US51"
3,"American Indian",2018,"2018","true","true","412010","Cashiers",14266.798408488065,11892.151574328196,754,674.0944148790237,5,"Virginia","04000US51"
3,"American Indian",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",35259.431958762885,15022.783140082483,970,764.5564350718414,7,"Virginia","04000US51"
6,"Asian",2018,"2018","true","true","1191XX","Other managers",106454.00796939751,16325.127060803265,9411,2379.0116991007476,104,"Virginia","04000US51"
6,"Asian",2018,"2018","true","true","252020","Elementary & middle school teachers",34770.8002801681,7961.279586385549,4997,1734.4675348587205,53,"Virginia","04000US51"
6,"Asian",2018,"2018","true","true","412010","Cashiers",18792.20518207283,5085.374705926286,5712,1854.2483675070857,59,"Virginia","04000US51"
6,"Asian",2018,"2018","true","true","291141","Registered nurses",64108.08926910917,11836.508381958622,5377,1799.1256119193795,59,"Virginia","04000US51"
6,"Asian",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",35221.95356285028,14656.71608119205,1249,867.5413948816289,13,"Virginia","04000US51"
8,"Other",2018,"2018","true","true","1191XX","Other managers",81884.42920572274,22552.55147245383,2027,1105.0829606878851,14,"Virginia","04000US51"
8,"Other",2018,"2018","true","true","252020","Elementary & middle school teachers",21634.65508982036,17142.90423443932,835,709.3719769493986,8,"Virginia","04000US51"
8,"Other",2018,"2018","true","true","412010","Cashiers",14605.727484020917,6245.050555447219,1721,1018.2972290891647,15,"Virginia","04000US51"
8,"Other",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",38901.21184159938,11121.28707253592,2601,1251.7221733124638,16,"Virginia","04000US51"
9,"Two or More Races",2018,"2018","true","true","1191XX","Other managers",100390.23498542274,36293.06867578225,3430,1437.279229616334,32,"Virginia","04000US51"
9,"Two or More Races",2018,"2018","true","true","252020","Elementary & middle school teachers",45569.88374125874,11142.703110499026,2288,1174.0383113588005,26,"Virginia","04000US51"
9,"Two or More Races",2018,"2018","true","true","412010","Cashiers",13229.152080344333,3463.6036347798854,5576,1832.0712471678971,37,"Virginia","04000US51"
9,"Two or More Races",2018,"2018","true","true","291141","Registered nurses",49511.74773082942,10141.124682461734,3195,1387.2090191803002,23,"Virginia","04000US51"
9,"Two or More Races",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",27165.3135391924,9882.244451899029,2105,1126.1336853179753,15,"Virginia","04000US51"
1,"White",2017,"2017","true","true","252020","Elementary & middle school teachers",47279.0511007381,1957.2283353315242,93619,7425.898295918925,1118,"Virginia","04000US51"
1,"White",2017,"2017","true","true","412010","Cashiers",12889.301793216518,2023.6152582035656,48795,5390.96792201457,468,"Virginia","04000US51"
1,"White",2017,"2017","true","true","291141","Registered nurses",57626.89950461253,2979.515842397417,57127,5827.113171632574,622,"Virginia","04000US51"
1,"White",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",44344.55733466586,6129.956284371612,46028,5237.670375210645,443,"Virginia","04000US51"
2,"Black",2017,"2017","true","true","252020","Elementary & middle school teachers",42730.05717509874,5541.699351066583,10634,2528.483036719999,89,"Virginia","04000US51"
2,"Black",2017,"2017","true","true","412010","Cashiers",14985.295506958251,1889.3370809964845,25150,3881.5909164092677,175,"Virginia","04000US51"
2,"Black",2017,"2017","true","true","291141","Registered nurses",59223.72567161756,12139.215498324942,12321,2721.1046132750184,90,"Virginia","04000US51"
2,"Black",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",36458.96505067652,4194.307038653575,20029,3466.11279532661,163,"Virginia","04000US51"
5,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",2017,"2017","true","true","412010","Cashiers",15448.915662650603,8620.810840857888,581,591.7415978515509,6,"Virginia","04000US51"
6,"Asian",2017,"2017","true","true","252020","Elementary & middle school teachers",40200.24211994421,9350.741956943893,3585,1469.364981730261,42,"Virginia","04000US51"
6,"Asian",2017,"2017","true","true","412010","Cashiers",15644.032795824569,2666.217644175585,12837,2777.324729376746,94,"Virginia","04000US51"
6,"Asian",2017,"2017","true","true","291141","Registered nurses",62232.94725152693,8959.78447556925,5403,1803.4593187744065,46,"Virginia","04000US51"
6,"Asian",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",29055.089728453364,13701.984066800653,1694,1010.2802580645481,20,"Virginia","04000US51"
8,"Other",2017,"2017","true","true","412010","Cashiers",17865.372286079182,8186.944728073351,1566,971.3769941522743,12,"Virginia","04000US51"
8,"Other",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",46498.55975252361,13169.56341803827,3071,1360.04167173583,11,"Virginia","04000US51"
9,"Two or More Races",2017,"2017","true","true","252020","Elementary & middle school teachers",39763.212194143605,11258.213385674258,2493,1225.4738010349076,25,"Virginia","04000US51"
9,"Two or More Races",2017,"2017","true","true","412010","Cashiers",9853.625616776315,2631.5524372830005,4864,1711.2528598668225,45,"Virginia","04000US51"
9,"Two or More Races",2017,"2017","true","true","291141","Registered nurses",61109.46783625731,13756.241281485873,1881,1064.558835099747,22,"Virginia","04000US51"
9,"Two or More Races",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",42745.22604047346,13354.757458939695,2619,1256.0414574383026,17,"Virginia","04000US51"
1,"White",2016,"2016","true","true","252020","Elementary & middle school teachers",46309.583240099695,2786.021862847023,90275,7294.170440603647,1040,"Virginia","04000US51"
1,"White",2016,"2016","true","true","412010","Cashiers",12676.935930924394,1624.6944798690947,55128,5725.221648484475,504,"Virginia","04000US51"
1,"White",2016,"2016","true","true","291141","Registered nurses",56708.35211671446,2850.3007484078926,59290,5934.322398232859,600,"Virginia","04000US51"
1,"White",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",39779.568800216664,3566.400848766063,55385,5738.367151285227,491,"Virginia","04000US51"
2,"Black",2016,"2016","true","true","252020","Elementary & middle school teachers",43326.98940528323,4538.063783049296,14158,2916.1992016446943,129,"Virginia","04000US51"
2,"Black",2016,"2016","true","true","412010","Cashiers",13765.876244620029,5463.483761950057,31134,4315.396288753974,225,"Virginia","04000US51"
2,"Black",2016,"2016","true","true","291141","Registered nurses",71323.82430031097,8069.359882545363,13506,2848.489317552077,100,"Virginia","04000US51"
2,"Black",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",37814.576371657015,4018.131304934331,21762,3612.078242443065,152,"Virginia","04000US51"
6,"Asian",2016,"2016","true","true","252020","Elementary & middle school teachers",37464.61713465874,8223.528698038486,4879,1713.874710818756,39,"Virginia","04000US51"
6,"Asian",2016,"2016","true","true","412010","Cashiers",16584.271766880887,3061.396436840045,11359,2612.9822008206884,101,"Virginia","04000US51"
6,"Asian",2016,"2016","true","true","291141","Registered nurses",66369.44901610017,9170.3613430891,5031,1740.334304854173,55,"Virginia","04000US51"
6,"Asian",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",30193.647575250838,7941.777183010556,2392,1200.4038479335868,21,"Virginia","04000US51"
8,"Other",2016,"2016","true","true","412010","Cashiers",10297.48457104103,5785.092951813982,2949,1332.7674217203323,26,"Virginia","04000US51"
8,"Other",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",32986.48341423948,5048.107359206288,2472,1220.3003709813695,14,"Virginia","04000US51"
9,"Two or More Races",2016,"2016","true","true","252020","Elementary & middle school teachers",38511.69721627409,8629.544468494847,2335,1186.023471840222,21,"Virginia","04000US51"
9,"Two or More Races",2016,"2016","true","true","412010","Cashiers",11385.608867775138,6557.77756701513,2526,1233.5486813811171,23,"Virginia","04000US51"
9,"Two or More Races",2016,"2016","true","true","291141","Registered nurses",62731.33408172429,9662.026034174,2227,1158.285792581863,18,"Virginia","04000US51"
9,"Two or More Races",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",28191.302408211606,7254.633323946147,2533,1235.2556259549638,16,"Virginia","04000US51"
1,"White",2015,"2015","true","true","252020","Elementary & middle school teachers",44743.67788911948,1975.0979730936479,84325,7054.09968020101,980,"Virginia","04000US51"
1,"White",2015,"2015","true","true","412010","Cashiers",13330.321164520305,2670.4995252411845,45581,5211.781953393558,448,"Virginia","04000US51"
1,"White",2015,"2015","true","true","291141","Registered nurses",55542.10703410766,3798.171640874366,52217,5573.612566553832,573,"Virginia","04000US51"
1,"White",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",40430.22718056693,5397.865154490328,51294,5524.7762861879455,467,"Virginia","04000US51"
2,"Black",2015,"2015","true","true","252020","Elementary & middle school teachers",45055.24656084656,4172.1300188411005,13230,2819.2762904036067,124,"Virginia","04000US51"
2,"Black",2015,"2015","true","true","412010","Cashiers",15242.451167643047,3151.959676283693,24922,3863.7898826016813,175,"Virginia","04000US51"
2,"Black",2015,"2015","true","true","291141","Registered nurses",57240.28820995533,6537.588933339428,12536,2744.5735970382734,101,"Virginia","04000US51"
2,"Black",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",39596.017187424775,4218.0328462342,20771,3529.2030794800467,164,"Virginia","04000US51"
3,"American Indian",2015,"2015","true","true","252020","Elementary & middle school teachers",21818.360582306832,11954.330721505778,893,733.5879071277652,8,"Virginia","04000US51"
3,"American Indian",2015,"2015","true","true","412010","Cashiers",16420.213917525773,19703.335957235784,388,483.581442293412,5,"Virginia","04000US51"
6,"Asian",2015,"2015","true","true","252020","Elementary & middle school teachers",40700.27653163709,12617.23448849948,2987,1341.314708100846,29,"Virginia","04000US51"
6,"Asian",2015,"2015","true","true","412010","Cashiers",11501.332579486498,3587.9015432530973,7517,2126.620111385972,78,"Virginia","04000US51"
6,"Asian",2015,"2015","true","true","291141","Registered nurses",71495.50812524772,10361.289210106801,5046,1742.910864249166,51,"Virginia","04000US51"
6,"Asian",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",28677.044444444444,6638.5820472932755,2790,1296.3606631000212,20,"Virginia","04000US51"
8,"Other",2015,"2015","true","true","412010","Cashiers",10936.33399339934,4509.184193687316,1515,955.4304641974788,10,"Virginia","04000US51"
8,"Other",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",40139.319336443754,13681.593785283914,1929,1078.0439621216535,9,"Virginia","04000US51"
9,"Two or More Races",2015,"2015","true","true","252020","Elementary & middle school teachers",32809.82066666667,11658.04941670663,1500,950.6906219012038,19,"Virginia","04000US51"
9,"Two or More Races",2015,"2015","true","true","412010","Cashiers",7810.719942918302,3664.6018518629166,2803,1299.3752421879758,27,"Virginia","04000US51"
9,"Two or More Races",2015,"2015","true","true","291141","Registered nurses",44583.012658227846,16226.247609176915,1343,899.5806076261315,13,"Virginia","04000US51"
9,"Two or More Races",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",34898.264654672086,7578.815755018179,1723,1018.8826053800104,9,"Virginia","04000US51"
1,"White",2014,"2014","true","true","252020","Elementary & middle school teachers",44745.03638935742,2223.801064129832,91895,7355.838763763282,1027,"Virginia","04000US51"
1,"White",2014,"2014","true","true","412010","Cashiers",12043.466490247967,1284.7328447251236,51015,5509.517774944617,442,"Virginia","04000US51"
1,"White",2014,"2014","true","true","291141","Registered nurses",57675.47839740563,4840.354179941431,48721,5385.7958424255785,534,"Virginia","04000US51"
1,"White",2014,"2014","true","true","533030","Driver/sales workers & truck drivers",37251.029844399345,2950.4124704140504,51735,5547.75083924237,490,"Virginia","04000US51"
2,"Black",2014,"2014","true","true","252020","Elementary & middle school teachers",40648.94109796245,5454.48756970459,11239,2599.0977889212,111,"Virginia","04000US51"
2,"Black",2014,"2014","true","true","412010","Cashiers",14173.116006731001,2406.3407673102815,29119,4174.105773938368,225,"Virginia","04000US51"
2,"Black",2014,"2014","true","true","291141","Registered nurses",60311.31505657093,9388.118511571107,10341,2493.3849518971942,98,"Virginia","04000US51"
2,"Black",2014,"2014","true","true","533030","Driver/sales workers & truck drivers",35141.23411026865,3432.6101743782065,21366,3579.0178670084815,171,"Virginia","04000US51"
6,"Asian",2014,"2014","true","true","252020","Elementary & middle school teachers",36437.766254876464,9188.89781896686,3076,1361.1297044196592,30,"Virginia","04000US51"
6,"Asian",2014,"2014","true","true","412010","Cashiers",18417.83591501028,8992.549167657902,7295,2095.0181493610876,70,"Virginia","04000US51"
6,"Asian",2014,"2014","true","true","291141","Registered nurses",60739.09102322662,12830.509555980796,3186,1385.2342056171767,40,"Virginia","04000US51"
6,"Asian",2014,"2014","true","true","533030","Driver/sales workers & truck drivers",24822.35002912056,9603.938628341191,1717,1017.1052963779705,15,"Virginia","04000US51"
8,"Other",2014,"2014","true","true","252020","Elementary & middle school teachers",33310.030303030304,12320.921765257093,627,614.715566764727,5,"Virginia","04000US51"
8,"Other",2014,"2014","true","true","412010","Cashiers",17599.74533879036,6736.2735404141595,2199,1150.9779149016533,15,"Virginia","04000US51"
8,"Other",2014,"2014","true","true","533030","Driver/sales workers & truck drivers",25062.524125452353,10287.892515572325,1658,999.4849563131156,10,"Virginia","04000US51"
9,"Two or More Races",2014,"2014","true","true","252020","Elementary & middle school teachers",44693.43522833178,15214.225968463223,1073,804.1107853304138,17,"Virginia","04000US51"
9,"Two or More Races",2014,"2014","true","true","412010","Cashiers",9165.184544992375,4273.346416320852,1967,1088.6023300368722,21,"Virginia","04000US51"
9,"Two or More Races",2014,"2014","true","true","291141","Registered nurses",68466.48834355829,11586.90668001063,815,700.8239808217197,6,"Virginia","04000US51"
9,"Two or More Races",2014,"2014","true","true","533030","Driver/sales workers & truck drivers",26543.926418439718,12438.830228685796,1128,824.4561560284615,7,"Virginia","04000US51"